iter	Passed	Remaining
445	1173	1457
446	1175	1454
447	1177	1450
448	1180	1448
449	1182	1445
450	1185	1442
451	1187	1439
452	1189	1436
453	1191	1433
454	1194	1430
455	1196	1427
456	1199	1424
457	1201	1421
458	1203	1419
459	1206	1415
460	1208	1412
461	1210	1409
462	1212	1406
463	1215	1403
464	1217	1400
465	1220	1398
466	1222	1395
467	1224	1392
468	1227	1389
469	1229	1386
470	1231	1383
471	1233	1380
472	1235	1376
473	1237	1373
474	1240	1370
475	1242	1367
476	1244	1364
477	1247	1361
478	1249	1358
479	1251	1355
480	1253	1352
481	1256	1350
482	1258	1346
483	1260	1344
484	1263	1341
485	1265	1338
486	1268	1336
487	1270	1333
488	1274	1331
489	1276	1328
490	1279	1326
491	1282	1323
492	1285	1321
493	1288	1319
494	1291	1317
495	1293	1314
496	1296	1312
497	1299	1309
498	1301	1307
499	1304	1304
500	1307	1301
501	1309	1299
502	1312	1296
503	1314	1293
504	1316	1290
505	1319	1287
506	1321	1285
507	1324	1282
508	1327	1280
509	1329	1277
510	1332	1275
511	1334	1272
512	1336	1269
513	1339	1266
514	1342	1263
515	1345	1261
516	1347	1258
517	1349	1255
518	1352	1253
519	1354	1250
520	1357	1247
521	1359	1244
522	1362	1242
523	1364	1239
524	1367	1237
525	1369	1234
526	1372	1231
527	1375	1229
528	1377	1226
529	1380	1223
530	1382	1221
531	1385	1218
532	1387	1215
533	1389	1212
534	1392	1210
535	1394	1207
536	1396	1204
537	1399	1201
538	1401	1198
539	1403	1195
540	1405	1192
541	1408	1189
542	1410	1187
543	1413	1184
544	1415	1181
545	1417	1178
546	1420	1176
547	1423	1173
548	1425	1171
549	1428	1168
550	1431	1166
551	1433	1163
552	1436	1161
553	1439	1158
554	1442	1156
555	1444	1153
556	1447	1151
557	1450	1148
558	1452	1146
559	1455	1143
560	1458	1141
561	1460	1138
562	1463	1135
563	1465	1132
564	1467	1130
565	1470	1127
566	1472	1124
567	1475	1122
568	1477	1119
569	1479	1116
570	1482	1113
571	1484	1110
572	1486	1108
573	1489	1105
574	1492	1102
575	1494	1100
576	1496	1097
577	1499	1094
578	1501	1091
579	1504	1089
580	1507	1087
581	1510	1084
582	1512	1081
583	1515	1079
584	1517	1076
585	1519	1073
586	1522	1071
587	1525	1068
588	1527	1066
589	1530	1063
590	1533	1060
591	1535	1058
592	1539	1056
593	1541	1053
594	1544	1050
595	1547	1048
596	1550	1046
597	1552	1043
598	1554	1040
599	1558	1038
600	1562	1037
601	1564	1034
602	1566	1031
603	1569	1028
604	1572	1026
605	1574	1023
606	1577	1021
607	1580	1018
608	1583	1016
609	1585	1013
610	1588	1011
611	1590	1008
612	1593	1005
613	1595	1002
614	1597	1000
615	1599	997
616	1602	994
617	1605	992
618	1608	989
619	1610	987
620	1613	984
621	1615	981
622	1617	978
623	1620	976
624	1622	973
625	1624	970
626	1627	968
627	1629	965
628	1632	962
629	1635	960
630	1638	958
631	1642	956
632	1645	954
633	1647	951
634	1650	948
635	1653	946
636	1655	943
637	1657	940
638	1659	937
639	1663	935
640	1665	932
641	1668	930
642	1670	927
643	1673	925
644	1675	922
645	1678	919
646	1681	917
647	1684	914
648	1686	912
649	1689	909
650	1691	906
651	1693	903
652	1696	901
653	1698	898
654	1700	895
655	1703	893
656	1705	890
657	1707	887
658	1711	885
659	1714	883
660	1716	880
661	1718	877
662	1721	875
663	1723	872
664	1725	869
665	1728	866
666	1730	863
667	1732	861
668	1735	858
669	1737	855
670	1740	853
671	1742	850
672	1744	847
673	1747	845
674	1749	842
675	1752	839
676	1754	837
677	1756	834
678	1759	831
679	1761	828
680	1763	826
681	1766	823
682	1768	820
683	1770	818
684	1773	815
685	1775	812
686	1779	810
687	1781	807
688	1783	805
689	1786	802
690	1788	799
691	1791	797
692	1793	794
693	1795	791
694	1798	789
695	1800	786
696	1804	784
697	1806	781
698	1809	779
699	1811	776
700	1814	773
701	1816	771
702	1818	768
703	1821	765
704	1823	762
705	1826	760
706	1828	757
707	1831	755
708	1833	752
709	1836	750
710	1838	747
711	1841	744
712	1843	742
713	1845	739
714	1848	736
715	1850	733
716	1852	731
717	1855	728
718	1858	726
719	1861	723
720	1864	721
721	1866	718
722	1868	716
723	1871	713
724	1874	710
725	1876	708
726	1879	705
727	1882	703
728	1884	700
729	1887	698
730	1890	695
731	1893	693
732	1895	690
733	1897	687
734	1901	685
735	1903	682
736	1905	680
737	1908	677
738	1910	674
739	1912	671
740	1915	669
741	1917	666
742	1919	664
743	1922	661
744	1924	658
745	1926	656
746	1929	653
747	1931	650
748	1934	648
749	1936	645
750	1939	642
751	1941	640
752	1945	638
753	1948	635
754	1950	633
755	1953	630
756	1955	627
757	1958	625
758	1960	622
759	1963	619
760	1966	617
761	1968	614
762	1971	612
763	1975	610
764	1977	607
765	1980	605
766	1982	602
767	1985	599
768	1987	597
769	1991	594
770	1994	592
771	1996	589
772	1998	587
773	2001	584
774	2004	581
775	2006	579
776	2008	576
777	2011	573
778	2013	571
779	2015	568
780	2018	565
781	2021	563
782	2024	560
783	2026	558
784	2028	555
785	2031	553
786	2033	550
787	2036	547
788	2038	545
789	2041	542
790	2043	539
791	2046	537
792	2049	535
793	2052	532
794	2054	529
795	2057	527
796	2059	524
797	2062	522
798	2064	519
799	2067	516
800	2069	514
801	2071	511
802	2074	508
803	2076	506
804	2078	503
805	2081	500
806	2085	498
807	2087	496
808	2090	493
809	2093	490
810	2095	488
811	2098	485
812	2101	483
813	2103	480
814	2106	478
815	2108	475
816	2111	472
817	2114	470
818	2117	467
819	2119	465
820	2122	462
821	2125	460
822	2127	457
823	2129	454
824	2132	452
825	2135	449
826	2137	447
827	2139	444
828	2141	441
829	2144	439
830	2146	436
831	2148	433
832	2150	431
833	2153	428
834	2155	425
835	2157	423
836	2160	420
837	2163	418
838	2166	415
839	2168	413
840	2170	410
841	2173	407
842	2175	405
843	2177	402
844	2180	399
845	2183	397
846	2185	394
847	2187	392
848	2190	389
849	2192	386
850	2194	384
851	2196	381
852	2199	379
853	2202	376
854	2205	374
855	2208	371
856	2210	368
857	2212	366
858	2214	363
859	2217	360
860	2219	358
861	2221	355
862	2223	353
863	2226	350
864	2229	347
865	2231	345
866	2234	342
867	2237	340
868	2239	337
869	2241	335
870	2244	332
871	2247	329
872	2250	327
873	2252	324
874	2254	322
875	2256	319
876	2260	316
877	2263	314
878	2265	311
879	2268	309
880	2270	306
881	2272	304
882	2275	301
883	2279	299
884	2281	296
885	2283	293
886	2286	291
887	2288	288
888	2292	286
889	2295	283
890	2297	281
891	2299	278
892	2302	275
893	2305	273
894	2307	270
895	2310	268
896	2312	265
897	2315	263
898	2318	260
899	2321	257
900	2324	255
901	2326	252
902	2329	250
903	2332	247
904	2334	245
905	2337	242
906	2339	239
907	2341	237
908	2344	234
909	2347	232
910	2350	229
911	2352	226
912	2355	224
913	2357	221
914	2360	219
915	2363	216
916	2365	214
917	2368	211
918	2370	208
919	2373	206
920	2375	203
921	2378	201
922	2380	198
923	2382	195
924	2384	193
925	2386	190
926	2388	188
927	2391	185
928	2393	182
929	2396	180
930	2399	177
931	2401	175
932	2403	172
933	2406	170
934	2408	167
935	2410	164
936	2413	162
937	2416	159
938	2418	157
939	2421	154
940	2423	151
941	2425	149
942	2428	146
943	2431	144
944	2433	141
945	2436	139
946	2438	136
947	2441	133
948	2443	131
949	2446	128
950	2448	126
951	2450	123
952	2453	120
953	2455	118
954	2457	115
955	2459	113
956	2462	110
957	2464	108
958	2467	105
959	2469	102
960	2472	100
961	2475	97
962	2477	95
963	2480	92
964	2483	90
965	2485	87
966	2488	84
967	2490	82
968	2493	79
969	2495	77
970	2498	74
971	2501	72
972	2504	69
973	2506	66
974	2508	64
975	2511	61
976	2513	59
977	2516	56
978	2518	54
979	2520	51
980	2522	48
981	2525	46
982	2527	43
983	2529	41
984	2532	38
985	2534	35
986	2536	33
987	2539	30
988	2542	28
989	2544	25
990	2547	23
991	2549	20
992	2553	18
993	2555	15
994	2557	12
995	2560	10
996	2562	7
997	2564	5
998	2567	2
999	2569	0
